"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"78670","Ch Govt/holly Tree La/stream","Holly Tree Lane","Waldorf,MD,20601","Charles","Waterway Construction",2018-05-23,"08-NT-0383",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.6476505040064,-76.8974969495391,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,16,0
"132839","Mexico Farms Rd SE","Mexico Farms Rd, SE","Cumberland,MD,21502","Allegany","NPDES Construction Activity",2016-07-01,NA,NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6014041031336,-78.7550481378032,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"140756","11-NT-3109 Water Treatment Plant Repairs Fort Detrick","Fort Detrick","Frederick,MD,21702","Frederick","Waterway Construction",2016-07-01,"11-NT-3109,11SF0363","MDRCKF03H",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.4350899999598,-77.4243800001355,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,0
"146272","City of Cambridge-Cambridge Marina at Long Wharf","1 High Street, end of High Street","Cambridge,MD,21613","Dorchester","Sediment_Erosion",2016-11-07,"16-DO-0104",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.5746109471183,-76.073182176393,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,6,1
"153372","32019 Peters Point Ln, Marion Station, MD 21838","32019 Peters Point Ln","Marion Station,MD,21838","Somerset","Sediment_Erosion",2016-07-01,NA,NA,"16-4179",NA,"Active - No work today","Satisfactory/Compliance","Close File","Y",37.9748320106029,-75.6459610144824,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153480","PAF 16-3110 Culotta Property at 2821 Armacost Ave.","2821 Armacost Ave.","Finksburg,MD,21048-1805","Carroll","Waterway Construction",2016-07-20,NA,NA,NA,NA,"Active","Satisfactory/Compliance","Close File","N",39.5057909843422,-76.8949140406707,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,3,0
"131570","Architect of the Capitol/Andrews Federal Campus","4317 Forestville Rd","District Heights,MD,20747","Prince George's","NPDES Construction Activity",2019-09-20,"10-NT-0259,10-SF-0427","MDRCQO0YF",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.8297194868055,-76.8774648924024,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,32,1
"149511","Dannon Garth Pond Renovation","Village of Long Reach; 300 ft","Columbia,MD,21045","Howard","NPDES Construction Activity",2016-12-01,"14-NT-3351","MDRCN01UD",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.2070339996972,-76.816098000124,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,6,1
"131793","Franklin Square Professional Center","5233 King Avenue","Rosedale,MD,21237","Baltimore","NPDES Construction Activity",2016-08-05,NA,"MDRCC011X",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3567620026709,-76.4718689938023,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,4,1
"139706","MD SHA / Structure No. 13126X0 / I-95 over Trib to Dorsey Run","I-95 approximately 1 mile southwest of MD 175","Jessup,MD,20794","Howard","Nontidal Wetlands",2016-07-01,"08-NT-3263",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1481211003189,-76.8141924003185,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"131958","CH DPW - Pinefield Subdivision","Temi Drive","Waldorf,MD,20601","Charles","Nontidal Wetlands",2017-06-13,"14-NT-0190",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.6565548639161,-76.8615634075197,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,18,1
"153291","Maryland Avenue Bridge","over Cambridge Creek","Cambridge,MD,21613","Dorchester","Tidal Wetlands",2016-07-01,NA,NA,"17-0001",NA,"Inactive","Satisfactory/Compliance","Close File","N",38.5463471676558,-76.0837721080536,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153442","PAF 16-2512/7654 water Oak Point Road","7654 Water Oak Point Road","Annapolis,MD,21401","Anne Arundel","NPDES Industrial Minor Surface Water",2016-07-01,NA,NA,"16-2512",NA,"Inactive","Satisfactory/Compliance","Close File","N",38.9769344997187,-76.4982241996975,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"35987","Baltimore County Public Schools","9610 Pulaski Park Dr, #204","Middle River,MD,21220","Baltimore","NPDES Industrial Stormwater",2016-07-01,NA,NA,"16-2452",NA,"Active","Additional Investigation Required","Additional Investigation Required,Refer to Others (See Findings)","N",39.3552129851364,-76.4495570385257,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"141878","D Carey Development","3815 Clarks Point Road","Middle River,MD,21220","Baltimore","NPDES Industrial Ground Water",2016-07-01,NA,NA,"16-2488",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.3218250153226,-76.3852530047128,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"79947","Nnp Ii Clarksburg Llc/clarksburg Town","STRINGTOWN ROAD","Clarksburg,MD,20871","Montgomery","Nontidal Wetlands",2017-12-11,"08-NT-3371",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.2555407381796,-77.2505124270621,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,14,1
"152993","Wheaton Library & Community Recreation Center","11701 Georgia Ave","Silver Spring,MD,20902","Montgomery","NPDES Construction Activity",2017-09-05,NA,"MDRCP027E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.0477429838717,-77.0511809628066,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"144585","P-621 Center for Cyber Security Studies parking garage","38.982758 -76.487842","Annapolis,MD,21401","Anne Arundel","State_federal SWM",2018-05-15,"15-SF-0009","MDRCBF02V",NA,NA,"Complete","Noncompliance","Continue Routine Inspection","N",38.9769344997187,-76.4982241996975,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,14,0
"153280","PAF 16-3106/Filling Activity at 6804 Woodland Rd.","6804 Woodland Road","Suitland,MD,20746","Prince George's","Waterway Construction",2017-03-09,NA,NA,"16-3106",NA,"Active - No work today","Noncompliance","Continue Routine Investigation","N",38.8323814232746,-76.8879748308836,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,5,0
"153281","PAF 16-3106/Filling Activity at 6806 Woodland Road","6806 Woodland Rd","Morningside,MD,20746","Prince George's","Waterway Construction",2017-03-09,NA,NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Investigation","N",38.8321101424699,-76.8880221882688,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,5,0
"152728","AX9691376 Gradall Equipment Training at Fairland Rd and Old Columbia Pike","n/a","Silver Spring,MD,20904","Montgomery","NPDES Construction Activity",2016-07-11,NA,"MDRCPS0EW",NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",39.0724350001492,-77.0013500000482,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"145528","FR Rec and Parks-Loys Station Community Park","13506 Old Frederick Rd","Thurmont,MD,21778","Frederick","Waterway Construction",2017-08-14,"14-NT-3326",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.6084029972178,-77.3525109685492,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,5,0
"153440","PAF 17-2000/Cape May Road - Hogpen Creek","Cape May Road","Essex,MD,21221","Baltimore","Sediment_Erosion",2016-07-05,NA,NA,"17-2000",NA,"Active","Additional Investigation Required","Refer to Others (See Findings)","N",39.2995586805732,-76.4234109226994,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,1
"129911","Washington Adventist Hospital","Plum Orchard Dr, West Farm Technology Park","Silver Spring,MD,20904","Montgomery","NPDES Construction Activity",2016-07-08,NA,"MDRCP00MH",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",39.0724350001492,-77.0013500000482,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,3,1
"145415","Pank Property","10546 Harp Rd, Pank Farm LLC","Walkersville,MD,21793","Frederick","NPDES Industrial Stormwater",2016-07-05,NA,"MDRCK0280",NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.486231980812,-77.306373034721,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,5,0
"135697","MNCPPC-Patuxent River Park, WB and A Trail","North of intersect of Race Track Road and Kimberwick Drive","Bowie,MD,20715","Prince George's","Nontidal Wetlands",2016-07-05,"11-NT-0377",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.0095800530834,-76.7480698862148,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153441","PAF 16-2496/Middle River @ rear of 2114 Rosalie Avenue","Rear of 2114 Rosalie Avenue","Essex,MD,21221","Baltimore","NPDES Industrial Minor Surface Water",2016-07-05,NA,NA,"16-2496",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.2991709939889,-76.4063120338486,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"113042","Kline, Richard G/bulkhead","250 W Joyce Ln","Arnold,MD,21012","Anne Arundel","Tidal Wetlands",2016-09-23,NA,NA,"16-2511",NA,"Inactive","Noncompliance","Refer to Others (See Findings)","N",39.0300189882392,-76.522427962945,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",2,4,1
"142981","Gaithersburg Salt Barn Facility","Metropolitan Grove Rd, 39.147454 -77.223079","Gaithersburg,MD,20878","Montgomery","NPDES Construction Activity",2016-11-01,"14-SF-0236","MDRCPS0AV",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.1479906404857,-77.2250797568277,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,10,1
"153307","10708 Stanmore Drive No NOI","10708 Stanmore Dr","Potomac,MD,20854","Montgomery","NPDES Construction Activity",2016-07-06,"NONE",NA,"17-3001",NA,"Active","Noncompliance","Continue Routine Investigation","N",39.0123330055462,-77.2202489792508,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"68317","Bulle Rock Phase I Parcels L & M","Bule Rock Parkway","Havre De Grace,MD,21078","Harford","NPDES Construction Activity",2016-09-22,NA,"MDRCM00E1",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.5623835436488,-76.1358597133659,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,6,1
"65312","HICKORY HILLS","MD Rte 237","Lexington Park,MD,20653","St. Mary's","Sediment_Erosion",2019-12-26,"09-SM-0080","MDRCT0135",NA,NA,"Inactive","Satisfactory/Compliance","Close File","N",38.2494850379333,-76.4884849438648,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",3,9,1
"153431","FDR BLVD Amber Dr. portion","Amber Dr and FDR Blvd","Lexington Park,MD,20653","St. Mary's","NPDES Construction Activity",2020-06-09,"15-SM-0242","MDRCT00NA",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2820676345194,-76.4774748153485,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,27,1
"127212","Extension of Existing SB I-95 Timberview Community Noise Barrier (SHA Contract No. HO2485126)","I-95 SB from 5000' N of MD100 to Montgomery Rd, 39.211557 -76.739584","Elkridge,MD,21075","Howard","NPDES Construction Activity",2016-07-06,"12-NT-0049","MDRCNS02S",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1785329001217,-76.778662200065,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"153241","Agricopia Section 6B Lots 419-422","Sorghum Place","La Plata,MD,20646","Charles","Sediment_Erosion",2018-05-01,"16-CH-0023",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.5397496941122,-76.9614569321914,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",3,8,1
"2199","QRS Recycling","8203 Fischer Road","Dundalk,MD,21222","Baltimore","NPDES Industrial Stormwater",2018-03-28,"12SW3201",NA,NA,NA,"Inactive","Additional Investigation Required","Additional Investigation Required","N",39.272756012826,-76.4634450134794,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,5,0
"7992","Salisbury WWTP/Outwall Diffuser Utility Repair","1142 Marine Road","Salisbury,MD,21801","Wicomico","NPDES Municipal Major Surface Water",2019-12-10,"15-DP-0696",NA,"20-4084",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.3561850100143,-75.6244450042767,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,67,0
"152785","Agricopia Section 7 Lot 233","Maiden Grass Drive","La Plata,MD,20646","Charles","Sediment_Erosion",2016-07-06,"16-CH-0020",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.5400298729658,-76.9570829470381,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153273","Agricopia (Kings Creek Homes LLC)","Maiden Grass Dr, at Silo Lane, at Agricopia Dr","La Plata,MD,20646","Charles","NPDES Construction Activity",2016-07-14,NA,"MDRCI02IH",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.5406700281412,-76.9571998798403,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"153438","Godwin Timber Sale","Jackson Lane off of Rte 560","Oakland,MD,21550","Garrett","Sediment_Erosion",2016-08-24,"15-GA-0315",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","Y",39.3694846753503,-79.3450515489935,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"153417","PAF 16-2505/4506 Sharilynn Drive","4056 Sharilynn Drive","Abingdon,MD,21009","Harford","NPDES Industrial Minor Surface Water",2016-07-06,NA,NA,"16-2505",NA,"Active - No work today","Noncompliance","Additional Investigation Required,Refer to Others (See Findings)","N",39.4622837648684,-76.2574558427008,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",1,2,0
"107190","SHA Cambridge Facility Replacement","38.554089 -76.032533","Cambridge,MD,21613","Dorchester","NPDES Construction Activity",2017-01-25,"12-SW-1312,13-SF-0303,15-NT-2196","MDRCJ08G",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection,Continue Routine Investigation","N",38.5696149998593,-76.0817650004177,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,16,1
"110847","Csx Transportation/bridge No Ba 172.3","LOCKHOUSE ROAD SE, CUMBERLAND MD 21502","Cumberland,MD,21502","Allegany","Waterway Construction",2016-07-06,"09-NT-3189,12-AL-0022,12AL0022",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.5894104477221,-78.7380432953761,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,0
"134754","Beaver Run Business Center","Lot 8AA Beaver Run Business Center, Beaver Run Dr","Salisbury,MD,21804","Wicomico","Sediment_Erosion",2017-06-15,"17-WI-0001","MDRCW021N",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Investigation","N",38.3541499999022,-75.5924850000164,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",3,8,1
"152218","Steuart-Kret Homes","Owings Overlook, Attn: Bill McElwee","Highland,MD","Howard","NPDES Construction Activity",2017-04-18,"13HO0011,16-NT-3076",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1812886927762,-76.9624466241062,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"153320","Agricopia Section 7 Lot 216","Agricopia Drive, Agricopia Drive","La Plata,MD,20646","Charles","Sediment_Erosion",2016-07-06,"16-CH-0021",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.5391232878699,-76.9601092778055,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"153321","Agricopia Section 7 Lot 156","Agricopia Drive, Agricopia Drive","La Plata,MD,20646","Charles","Sediment_Erosion",2016-07-14,"16-CH-0022",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",38.5391232878699,-76.9601092778055,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"69709","High Ridge Substation","8271 Leishear Rd","Laurel,MD,20723","Howard","Nontidal Wetlands",2017-07-17,"16-NT-3051",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.1441963205109,-76.8741927502339,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"153324","John Wood","239 Wye Knot Court","Queenstown,MD,21658","Queen Anne's","Sediment_Erosion",2018-04-06,NA,NA,"PAF 16-4241",NA,"Complete","Satisfactory/Compliance","Close File","N",38.957011983289,-76.1071080133968,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"151596","Orchid Park Ph 3","Azalea ct","California,MD,20619","St. Mary's","Sediment_Erosion",2020-02-28,"13-SM-0124",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","Y",38.3005352785562,-76.5487742782138,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",4,21,1
"152973","Denison Nursery & Abby Farms","2807 & 3009 Accokeek Road","Waldorf,MD,20601","Prince George's","Nontidal Wetlands",2016-11-09,NA,NA,"16-3095",NA,"Complete","Satisfactory/Compliance","Close File","Y",38.671282081856,-76.9551368412982,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,5,1
"153325","Carleton Haddaway","3706 Main Street","Grasonville,MD,21638","Queen Anne's","Nontidal Wetlands",2016-07-06,NA,NA,"PAF 16-4238",NA,"Active","Satisfactory/Compliance","Close File","N",38.9639930190204,-76.2213260286733,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"148752","Booth Street Apartments Redevelopment","911-921 Booth St","Salisbury,MD,21801","Wicomico","Sediment_Erosion",2017-02-27,"15-WI-0176","MDRCW01PO",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3773139855943,-75.6155099795751,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",2,6,1
"147317","Spiker Timber Harvest","Shingle Camp Road","McHenry,MD,21541","Garrett","Sediment_Erosion",2018-03-01,"15-GA-0170",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.5301369198951,-79.3648951827027,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,1
"103589","Elm Street Development/greenridge Acres","N SIDE CANTERFIELD WAY; S OF NEWCUT RD","Clarksburg,MD,20871","Montgomery","NPDES Construction Activity",2016-09-30,"03-NT-0514","MDRCP00QB",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.2290535999692,-77.245123699574,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",3,8,1
"138758","Quality Built Homes Inc-Oakland Hall","2395 Solomons Island Road South","Prince Frederick,MD,20678","Calvert","Sediment_Erosion",2020-03-12,"20-CA-0034",NA,NA,NA,"Active","Noncompliance","Additional Investigation Required","N",38.5040351191425,-76.5518728101739,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,19,1
"152059","Courts at Clarksburg","21901 Ridge Rd","Germantown,MD,20876","Montgomery","NPDES Construction Activity",2020-04-08,NA,"MDRCP020E",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.2129510075775,-77.2397039631405,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,6,1
"24046","Anne Arundel County School Transportation Garage","8229 Waterford Road","Pasadena,MD,21122","Anne Arundel","NPDES Industrial Stormwater",2019-09-05,"12SW1584",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.1221210167613,-76.5598489704462,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,6,0
"144758","MO DOT-Wildcat Road","21900/20550 Wildcat Road","Germantown,MD,20876","Montgomery","Nontidal Wetlands",2016-09-16,"14-NT-3235",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.2186269810607,-77.2262130381525,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"131599","William Bailey","21160 Whites Neck Rd","Bushwood,MD,20618","St. Mary's","Tidal Wetlands",2018-07-19,"15-WL-0592",NA,NA,NA,"Active - No work today","Satisfactory/Compliance","Continue Routine Inspection","N",38.2524149950908,-76.7899899638826,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,4,1
"153418","PAF 17-2004/ Beards Hill road","Beards Hill Road","Aberdeen,MD,21001","Harford","NPDES Construction Activity",2016-07-07,NA,NA,"17-2004",NA,"Active - No work today","Additional Investigation Required","Additional Investigation Required,Refer to Others (See Findings)","N",39.5256745557548,-76.1660601623263,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"136901","Casselman River Partners LLC","From Durst Road at the Casselman crossing, follow dirt road along Casselman River approximately, 4800 feet west to a large meander bend","Grantsville,MD,21536","Garrett","Sediment_Erosion",2016-12-09,"15-NT-3066,16-GA-0001",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",NA,NA,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,6,1
"23007","Perryville Yacht Club","31 River Road","Perryville,MD,21903","Cecil","NPDES Marinas",2020-02-21,"16MARQST",NA,NA,NA,"Inactive","Satisfactory/Compliance","Close File","N",39.5611169934871,-76.081455031339,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"80959","JNP Capital Management LLC-Main Heights","Betwn 5730 and 5736 Mains Lane","Frederick,MD,21701","Frederick","NPDES Construction Activity",2016-07-07,NA,"MDRCK0163",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3932210188109,-77.349042034248,"E",NA,NA,NA,NA,NA,NA,NA,NA,NA,"G",4,4,1
"144746","ADA Playgrpounds at Small State Park and Rosaryville State Park","38.557054 -77.174896","Marbury,MD,20658","Charles","State_federal SWM",2018-04-13,"15-SF-0014",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.569844999792,-77.1583100002736,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,16,0
"150201","The Pike Company - Wal-Mart Store #2790","10420 Wal-Mart Dr, (future address)","Hagerstown,MD,21740","Washington","NPDES Construction Activity",2017-10-10,"14-WA-0062","MDRCV020R",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.5990178299415,-77.7328369599662,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,14,1
"153317","PAF 17-2005 / Fays Bus Service","8229 Waterford Road","Pasadena,MD,21122","Anne Arundel","NPDES Industrial Stormwater",2019-08-02,"12-SW-3224",NA,NA,NA,"Active - No work today","Noncompliance","Continue Routine Inspection","N",39.1221210167613,-76.5598489704462,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,7,0
"153350","Prince George's Community College Queen Anne Academic Center","301 Largo Rd.","Upper Marlboro,MD,20774","Prince George's","NPDES Construction Activity",2019-10-03,NA,"MDRCQ0257",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.8890636244181,-76.8247779634719,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,4,1
"139540","Ronald Sperlbaum Jr","37227 Gibson Road","Bushwood,MD,20618","St. Mary's","Tidal Wetlands",2016-07-07,"15-PR-1049",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2530930074617,-76.789864989362,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"23022","Owens Marina","10 River Rd","Perryville,MD,21903","Cecil","NPDES Marinas",2016-07-07,"10MA9355",NA,"16-4018",NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","Y",39.5602309842579,-76.0803180264974,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"25924","Cambridge-South Dorchester High School","2475 Cambridge Bypass","Cambridge,MD,21613","Dorchester","Sediment_Erosion",2017-06-09,"16-DO-0105","MDRC1028W",NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",38.5460628984061,-76.0900618215172,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,12,1
"83244","Mount Airy Bible Church, Inc","16700 Old Frederick Rd","Mount Airy,MD,21771","Howard","NPDES Municipal Ground Water",2016-07-07,"15-DP-3691",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.3493790130154,-77.0962839835284,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"140538","MO DOT-Bridge No M-0353-Elmhirst Parkway","Elmhirst Pkwy over Rock Creek","Bethesda,MD,20810","Montgomery","Waterway Construction",2019-04-25,"13-NT-3177",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.9863699997257,-77.0969199997328,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,5,0
"146574","Bowie State University CNSMN Project","14000 Jericho Park Rd, Bowie, CNSMN","Bowie,MD,20715","Prince George's","State_federal SWM",2018-04-23,"14-SF-0087","MDRCQSO61",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.0183087573987,-76.7607073658688,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",4,38,0
"152921","Wal-Mart Sanitary Sewer Force Main","Sharpsburg Pike and Rench Road","Hagerstown,MD,21740","Washington","Sediment_Erosion",2017-05-19,"15-WA-0219",NA,NA,NA,"Complete","Satisfactory/Compliance","Continue Routine Inspection","N",39.5940400608663,-77.7308699109038,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",2,3,1
"153369","PAF 17-3002 / Fleming","702 Watersville Road","Mount Airy,MD,21771","Frederick","Nontidal Wetlands",2016-07-07,NA,NA,"PAF 17-3002",NA,"Inactive","Noncompliance","Continue Routine Investigation","N",39.380258687308,-77.1436783487236,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"140626","Beaver Creek Tidal Dam and Spillway Reconstruction","Beaver Dam Creek Spillway near the intersection of E Main St & Snow Hill Rd","Salisbury,MD,21804","Wicomico","Tidal Wetlands",2017-05-08,"13-GL-0545,13-NT-2071,16-WI-0168",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.3655200609553,-75.5926599055955,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,13,1
"153351","Prince George's Community College Lanham Hall","301 Largo Rd.","Upper Marlboro,MD,20774","Prince George's","NPDES Construction Activity",2016-09-27,NA,"MDRCQ02C9",NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.8890636244181,-76.8247779634719,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",2,3,1
"113419","Ft. Detrick Youth Center","39.4422498 -77.4272452","Fort Detrick,MD,21702","Frederick","State_federal SWM",2017-09-27,"12-SF-0326","MDRCK01FW",NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.4264464000783,-77.4381889997011,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",4,24,0
