"SiteNo","SiteName","StreetAddress","CityStateZip","County","InspectionType","InspectionDate","PermitNo","NPDESNo","ComplaintTrackingNo","InspectionReason","SiteStatus","SiteCondition","RecommendedActions","ComplianceAssist","Latitude","Longitude","Type","EnforcementAction","EnforcementActionNo","EnforcementActionIssued","CaseClosed","Media","Program","EnfIssue","ResolvedDate","ViolationSNCDate","MarkerShape","MarkerSize","InspectionCount","Construction"
"154585","Yang Cui","2292 Lake Dr","Pasadena,MD,21122","Anne Arundel","Tidal Wetlands",2017-03-30,"16-GL-0971",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.1349939859226,-76.4399819713707,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"23499","Forrest Farm WWTP","23255 Pembrook Dr","Leonardtown,MD,20636","St. Mary's","NPDES Municipal Ground Water",2017-03-31,"09DP3280",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",38.3117205492261,-76.5836141438327,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"156563","UN-PROTECTED SNOW SALTPILE AT SHA YARD IN BELTSVILLE","State Highway Administration Yard, Near The Weigh Station And Park Ride, 495,95 South Bound","Beltsville,MD,20705","Prince George's","NPDES Industrial Stormwater",2017-03-31,NA,NA,"PAF 17-3090",NA,"Inactive","Corrective Actions Required","Additional Investigation Required,Continue Routine Investigation,Refer to Others (See Findings)","N",39.0319950002337,-76.9110950004214,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"156601","PAF 17-2401/ In front of 2112 & 2114 Old Eastern Avenue","In front of 2112 & 2114 Old Eastern Avenue","Middle River,MD,21220","Baltimore","NPDES Industrial Minor Surface Water",2017-03-31,NA,NA,"17-2401",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.3290479944656,-76.4413440302422,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"8134","Patterson Park Boat Lake","200 S Linwood Ave, 2601 E Baltimore St","Highlandtown,MD,21224","Baltimore City","NPDES Industrial Minor Surface Water",2017-03-31,"08-DP-3449",NA,NA,NA,"Inactive","Satisfactory/Compliance","Close File","N",39.2919881693575,-76.5803338512496,"V",NA,NA,NA,NA,NA,NA,NA,NA,NA,"F",4,2,0
"23464","Randall & Frances Williams Residence","4308 Buckeystown Pike","Frederick,MD,21704","Frederick","NPDES Industrial Ground Water",2017-03-31,"10DP3256",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.3504469932979,-77.4258009893879,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"66533","William Robinson","831 Brierley Mill Rd","Church Hill,MD,21623","Queen Anne's","Nontidal Wetlands",2018-09-21,"15-NT-2005,17-QA-0050","MDRCR02U0",NA,NA,"Complete","Satisfactory/Compliance","Close File,Continue Routine Inspection","N",39.1337089978225,-75.9095850284881,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"D",4,20,1
"156038","Housing Authority FHO","46730 South Shangrila Rd.","Lexington Park,MD,20653","St. Mary's","Sediment_Erosion",2017-03-31,"17-SM-0127",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",38.2612739962392,-76.4586379918502,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"92963","Hilltop Marina","1802 Hilltop Ave","Essex,MD,21221","Baltimore","NPDES Industrial Minor Surface Water",2018-07-19,NA,NA,"19-2016",NA,"Inactive","Satisfactory/Compliance","Close File","N",39.3110750149681,-76.4365270346183,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,2,0
"31796","Daneri Residence Composting Toilet System","1320 Mountain Church Rd","Middletown,MD,21769-7313","Frederick","NPDES Industrial Ground Water",2017-03-31,"13DP3497",NA,NA,NA,"Active","Satisfactory/Compliance","Continue Routine Inspection","N",39.4362139788918,-77.6253819822731,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
"78969","NeighborCare - St. Agnes","900 S Caton Ave","Baltimore,MD,21229","Baltimore City","Sediment_Erosion",2017-03-31,NA,NA,NA,NA,"Active - No work today","Noncompliance","Refer to Others (See Findings)","N",39.2735899152606,-76.671386606951,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,1
"146560","Bon Secours Gibbons Apartments","900 Desoto Road","Baltimore,MD,21229","Baltimore City","Nontidal Wetlands",2017-03-31,"15-NT-0065",NA,NA,NA,"Complete","Satisfactory/Compliance","Close File","N",39.2737808327557,-76.6669037432903,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"18744","Thorpewood, LLC","12805 Mink Farm Road","Thurmont,MD,21788","Frederick","NPDES Industrial Ground Water",2017-03-31,"09DP3238",NA,NA,NA,"Active","Noncompliance","Continue Routine Inspection","N",39.586391993573,-77.4899099755964,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"C",1,1,0
"155453","Gary Peters","7823 Southwest Road","Pasadena,MD,21122","Anne Arundel","Tidal Wetlands",2017-03-31,"17-GL-0034",NA,NA,NA,"Inactive","Satisfactory/Compliance","Continue Routine Inspection","N",39.1339099960294,-76.443111019101,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,1
"156602","PAF 17-2417/1100 68th Street","1100 68th Street","Rosedale,MD,21237","Baltimore","NPDES Municipal Minor Surface Water",2017-04-03,NA,NA,"17-2417",NA,"Inactive","Additional Investigation Required","Additional Investigation Required","N",39.3118129995516,-76.520068038388,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,0
"67424","MItchell Bonneville, Inc. - Sand Mining","Revells Neck Rd, Charles Barnes Rd Pit II","Princess Anne,MD,21853","Somerset","Nontidal Wetlands",2017-04-03,NA,NA,"17-4200",NA,"Active - No work today","Additional Investigation Required","Refer to Others (See Findings)","N",38.1999300000576,-75.6923000002542,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,1,1
"157403","Alexander Pinder","4244 Middletown Branch Road","Vienna,MD,21869","Dorchester","Nontidal Wetlands",2017-06-30,NA,NA,"17-4199",NA,"Complete","Satisfactory/Compliance","Close File","N",38.5167730125207,-75.9044119694317,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"B",1,2,1
"156599","PAF 17-2392 at 1910 Beeches Glory Path","1910 Beeches Glory Path","Annapolis,MD,21401","Anne Arundel","NPDES Swimming Pools and Spas",2017-04-03,NA,NA,"17-2392",NA,"Active","Satisfactory/Compliance","Close File","N",38.9944469875216,-76.5989639598247,"C",NA,NA,NA,NA,NA,NA,NA,NA,NA,"A",1,1,0
