"","Site.No","Site.Name","Street.Address","City..State.Zip","County","Enforcement.Action","Enforcement.Action.No","Enforcement.Action.Issued","Case.Closed","Media","Program","Latitude","Longitude"
"1",131871,"Carroll County Bureau of Building Construction N side of Woodbine Road between Braddock and Bethel","North side of Woodbine Road between , intersections with Braddock and Bethel Roads, 7200 ft (1.36mi) south of intersection of Woodbine Road and MD 26 (Liverty Road)","Woodbine,MD","Howard","Penalty Settlement","PS-14-2027","11/19/2013","01/14/2014","Notice of Intent","Notice of Intent (Construction)",NA,NA
"2",145066,"UMUC(UMCP Renovation of the Edward St. John Learning & Teaching Center)","0600 Service Building , Department of Architecture, Engineering and Construction, Edward St. John Learning Center","College Park,MD,20740","Prince George's","Penalty Settlement","C-16-2313","09/11/2015","09/29/2015","Notice of Intent;Sediment","Notice of Intent (Construction)",NA,NA
