Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
150623,St Charles Community LLC-Village of Wooded Glen Neighborhood 2,"S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd",Saint Charles,MD,20602,Charles,NPDES Construction Activity,2/21/2018 12:00:00 AM,,MDRCI01WE,18-2309,,Active,Noncompliance,"Additional Investigation Required,Continue Routine Inspection",N,181
150623,St Charles Community LLC-Village of Wooded Glen Neighborhood 2,"S side of St. Charles Pkwy, 2 miles S of the intersection of St. Charles Parkway and Bill, 2 miles S of the intersection of St. Charles Pkwy and, Billingsley Rd",Saint Charles,MD,20602,Charles,NPDES Construction Activity,2/21/2018 12:00:00 AM,,MDRCI01WE,18-2309,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,182
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,Nontidal Wetlands,3/13/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,18-1070,,Active,Noncompliance,Continue Routine Inspection,N,183
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,NPDES Construction Activity,3/13/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,18-1070,,Active,Noncompliance,Continue Routine Inspection,N,184
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,Waterway Construction,3/13/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,18-1070,,Active,Noncompliance,Continue Routine Inspection,N,185
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,State_federal SWM,3/13/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,18-1070,,Active,Noncompliance,Continue Routine Inspection,N,186
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,NPDES Construction Activity,3/28/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,187
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Sediment_Erosion,3/28/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,188
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Nontidal Wetlands,3/28/2018 12:00:00 AM,17NT0281,MDRCH03FC,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,189
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,State_federal SWM,4/11/2018 12:00:00 AM,12-SF-0198,,18-1070,,Active,Satisfactory/Compliance,Continue Routine Inspection,Y,190
