Site No,Site Name,Street Address,City,State,Zip,County,Inspection Type,Inspection Date,Permit No,NPDES No,Complaint Tracking No,Inspection Reason,Site Status,Site Condition,Recommended Actions,Compliance Assist?,ObjectId
136911,MD DNR-C and O Canal NHP-Western Maryland Rail Trail,"Along Western Maryland Rail Trail approximately 4000 feet east of Little Orleans and also, approximately 11000 feet west of the Pearre parking lot",Hancock,MD,21750,Washington,NPDES Construction Activity,8/16/2018 12:00:00 AM,"12-SF-0198,17-NT-3188",MDRCYS081,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,232
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,NPDES Construction Activity,9/14/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,233
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Sediment_Erosion,9/14/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,234
160055,Delmarva Power and Light-Circuit No 23002-Piney Grove to Indian River,"From Piney Grove Substation on Layfield Road, Salisbury, MD 21804, to Indian River Substation on Power Plant Road, Millsboro, DE 19939",Salisbury,MD,21804,Wicomico,Sediment_Erosion,9/18/2018 12:00:00 AM,"18-NT-2006,19-WI-0014",MDRCW03VH,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,235
160055,Delmarva Power and Light-Circuit No 23002-Piney Grove to Indian River,"From Piney Grove Substation on Layfield Road, Salisbury, MD 21804, to Indian River Substation on Power Plant Road, Millsboro, DE 19939",Salisbury,MD,21804,Wicomico,NPDES Construction Activity,9/18/2018 12:00:00 AM,"18-NT-2006,19-WI-0014",MDRCW03VH,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,236
160055,Delmarva Power and Light-Circuit No 23002-Piney Grove to Indian River,"From Piney Grove Substation on Layfield Road, Salisbury, MD 21804, to Indian River Substation on Power Plant Road, Millsboro, DE 19939",Salisbury,MD,21804,Wicomico,Nontidal Wetlands,9/18/2018 12:00:00 AM,"18-NT-2006,19-WI-0014",MDRCW03VH,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,237
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Sediment_Erosion,9/21/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,238
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,NPDES Construction Activity,9/21/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,239
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,NPDES Construction Activity,10/16/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,240
140448,Stewart Properties-Principio Business Park-Regional Distribution Center,"North of U.S. Route 40, south of CSX Railroad, east of Belvedere Road, and west of Principio Parkway, Building 'A' at Principio Business Park",North East,MD,21901,Cecil,Sediment_Erosion,10/16/2018 12:00:00 AM,18CE0151,MDRCH03FC,,,Active,Noncompliance,Continue Routine Inspection,N,241
159840,COLUMBIA GAS - CUMBERLAND STREET GAS LINE REPLACEMENT,"CUMBERLAND, CARROLL, SCHLEY, SARATOGA, MT. VIEW, TILGHMAN, SEDGEWICK, NIAGARA, MAGRUDER STREETS, PAW PAW WAY AND ESSEX PLACE",Cumberland,MD,21502,Allegany,Sediment_Erosion,10/29/2018 12:00:00 AM,18-AL-0039,,,,Complete,Satisfactory/Compliance,Close File,N,242
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,State_federal SWM,11/9/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,243
148171,NASA Goddard - Water Tower Revelopment Project,"Bldg 16 & 86 on NASA Goddard Space Flight Center Campus, at the intersection of Tiros and Hubble Rds, 38.996834,-76.847224",Greenbelt,MD,20771,Prince George's,NPDES Construction Activity,11/9/2018 12:00:00 AM,15-SF-0289,MDRCQF03E,,,Active,Satisfactory/Compliance,Continue Routine Inspection,N,244
156686,Great Seneca Highway-Lakelands and Orchard Ridge TMDL RGP,"Various locations on Great Seneca Hwy, Lakelands: 327 Tannery Dr, Orchard Ridge: 973 Orchard Ridge Dr",Gaithersburg,MD,20878,Montgomery,Nontidal Wetlands,11/29/2018 12:00:00 AM,17-NT-3115,MDRCP,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,245
156686,Great Seneca Highway-Lakelands and Orchard Ridge TMDL RGP,"Various locations on Great Seneca Hwy, Lakelands: 327 Tannery Dr, Orchard Ridge: 973 Orchard Ridge Dr",Gaithersburg,MD,20878,Montgomery,Waterway Construction,11/29/2018 12:00:00 AM,17-NT-3115,MDRCP,,,Inactive,Satisfactory/Compliance,Continue Routine Inspection,N,246
